total_energy_consumption,ensemble_size,input_file_length,image_height,image_width,ensemble_accuracy,ensemble_confidence,ensemble_avg_response_time,ensemble_max_response_time,ensemble_contribution,reward,distribution_weights
0.003833157044692698,4,14,224,224,0.6666666666666666,0.5962646868493823,2.0951593731502722,2.1538846901038506,0.8960865338643392,3.9799673915208267,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.006996982659451798,5,14,224,224,0.75,0.6497036983569464,2.531350378219589,3.8399233934275396,0.9031233638525009,3.9843888301165533,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.006996982659451798,5,14,224,224,0.8,0.7067159907023113,2.784744975228457,3.8399233934275396,0.9167284607887268,3.9876167452550253,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.006996982659451798,5,15,224,224,0.8333333333333334,0.7099189088576371,2.9598943830819953,3.8399233934275396,0.9207067588965098,3.9886013748908296,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.011539725062961177,6,13,224,224,0.8571428571428571,0.7385479162846293,3.552253749681167,7.1064099492761965,0.9320322700909206,3.9900715943771665,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.011354318386132727,6,14,224,224,0.875,0.75806691814214,3.992528851277204,7.1064099492761965,0.9397020116448402,3.9910857798784374,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.011354318386132727,6,14,224,224,0.8888888888888888,0.7763680733464383,4.339736094305094,7.1173940385282135,0.9463804562886556,3.9919457572552712,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.016839173459921662,7,15,224,224,0.9,0.7835632806519668,4.6214898055406834,7.157273206660992,0.9400223791599274,3.9924158292663887,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.016839173459921662,7,14,224,224,0.9090909090909091,0.7913071363325759,4.852818042916341,7.166100416672916,0.9412245967171409,3.9928476198616427,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.017675754738927185,7,15,224,224,0.9166666666666666,0.7977892661674155,5.043376348022365,7.166100416672916,0.9456780354181925,3.99320498139606,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.017675754738927185,7,14,224,224,0.9230769230769231,0.8082677051534147,5.2036589090442895,7.166100416672916,0.9492710920480582,3.9936396560187855,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.017675754738927185,7,14,224,224,0.9285714285714286,0.8123963941370144,5.341656965395383,7.166100416672916,0.950134881905147,3.993879165186368,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.017675754738927185,7,14,224,224,0.9333333333333333,0.820683328107236,5.460878835041452,7.166100416672916,0.9534359852472941,3.994210619379799,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.017825260597325844,8,14,224,224,0.9375,0.8257471814707277,5.56449430289176,7.166100416672916,0.9556955173611641,3.99444091881925,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.017859681623383035,9,15,224,224,0.9411764705882353,0.8298434170201268,5.656220670136061,7.166100416672916,0.9578674996600431,3.9946333607224775,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.018470515036970083,10,15,224,224,0.9444444444444444,0.834807793221829,5.740772555948342,7.1781546147571245,0.9601248866981931,3.9948381455488864,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.018470515036970083,10,15,224,224,0.9473684210526315,0.8411435998633889,5.815202768567386,7.1781546147571245,0.9622213620888559,3.9950694524471535,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
